nypd_pct_cd,call_type,.model,sigma2,log_lik,AIC,AICc,BIC,MSE,AMSE,MAE,lb_stat,lb_pvalue,ar_roots_str,ma_roots_str
1,CIP,arima_weather,27.932502327518517,-3908.940014783222,7841.880029566444,7842.128437209756,7903.631843179017,NA,NA,NA,14.734509937839402,0.06451803021818958,14.7374649328591+0i,1.05509838285002+0i
1,Non CIP,arima_weather,827.6560084995712,-6057.136954413556,12144.273908827112,12144.656989433655,12221.463675842828,NA,NA,NA,37.399951879969116,9.714187138021302e-6,,0.981992806955649+0.720852356999348i|-0.921293039942875+0.796967457338734i|-0.571978831564567-1.07553624287896i|0.981992806955635-0.720852356999344i|0.48426512685857+1.11777693678695i|-1.19751106357774+0.223394821142029i|0.0486774337221092-1.21719698527i|1.11378657924629+1.23053640452002e-14i|0.048677433722094+1.21719698527i|-1.19751106357773-0.223394821142038i|0.484265126858568-1.11777693678694i|1.17584756754884+0.318308798800163i|-0.571978831564572+1.07553624287895i|-0.921293039942871-0.796967457338735i|1.17584756754884-0.318308798800183i|-1.51890616724071+2.92321555759271i|-1.51890616724071-2.92321555759271i
1,<aggregated>,arima_weather,869.5148788936131,-6088.978454734934,12205.956909469867,12206.291837699533,12278.00069201787,NA,NA,NA,36.799916070417986,1.2526131798473727e-5,0.725424686877432+0.909653785305685i|-1.0482690445553+0.50481976553945i|-0.782809436131593-0.981611984857123i|1.13119240980723-0.544753553550886i|0.279381453102396+1.22405012388145i|-1.25552885355606-9.84302841988536e-17i|-0.258901073213555-1.13431971672058i|1.16349086178284-1.5960493594347e-15i|-0.258901073213554+1.13431971672058i|-1.0482690445553-0.50481976553945i|0.72542468687743-0.909653785305681i|1.13119240980723+0.544753553550884i|-0.782809436131592+0.981611984857123i|0.279381453102398-1.22405012388145i|3.6045012038274+5.32542658395324e-16i,1.10753375429216+0i
1,CIP,base_arima,28.52771087650831,-3926.789336570481,7859.578673140962,7859.597645472977,7875.016626544105,NA,NA,NA,18.40107057695481,0.018412599687072095,13.785731360603+0i,1.06120543054285+0i
1,Non CIP,base_arima,935.3213162430103,-6139.557100544518,12291.114201089036,12291.180762103299,12321.990107895323,NA,NA,NA,90.25534254121487,4.440892098500626e-16,,0.923191073269055+0.669384963864323i|-0.858031425110112+0.751092578271694i|-0.541331165110316-1.00365260787367i|0.923191073269055-0.669384963864323i|0.447172745422186+1.0489969129425i|-1.12220166717136+0.202537418293811i|0.052253980710423-1.13913454390218i|1.07124640065271+6.76115955188884e-16i|0.0522539807104232+1.13913454390218i|-1.12220166717136-0.202537418293811i|0.447172745422187-1.0489969129425i|1.09894645799013+0.304425146928213i|-0.541331165110315+1.00365260787367i|-0.858031425110112-0.751092578271694i|1.09894645799013-0.304425146928213i|-1.49862062469766+2.485405420493i|-1.49862062469766-2.485405420493i
1,<aggregated>,base_arima,988.8649405676583,-6174.905308254925,12361.81061650985,12361.877177524113,12392.686523316137,NA,NA,NA,92.6136002624483,1.1102230246251565e-16,,0.917992731622528+0.667261628689238i|-0.854804586542795+0.7464970564297i|-0.53756890172724-0.999484073073991i|0.917992731622528-0.667261628689238i|0.446259386531289+1.04345641804798i|-1.11659684257796+0.202879835315743i|0.0506729579949489-1.13374643891871i|1.07065615090328+5.41136162687416e-16i|0.0506729579949487+1.13374643891871i|-1.11659684257796-0.202879835315744i|0.446259386531289-1.04345641804798i|1.09404525469923+0.301684797599929i|-0.53756890172724+0.999484073073991i|-0.854804586542795-0.7464970564297i|1.09404525469923-0.301684797599929i|-1.40549139816765+2.49707450098929i|-1.40549139816765-2.49707450098929i
1,CIP,base_ets,0.055264144973611595,-6644.900646636483,13309.801293272965,13309.976035131584,13361.269015067492,27.936391667929932,28.245292780132978,0.18488865372686225,16.56709527662798,0.034946180104809765,,
1,Non CIP,base_ets,0.009300516679216232,-8805.532623689664,17631.065247379327,17631.239989237944,17682.53296917385,833.0636780140057,906.9878923620583,0.07473639462496595,81.79568737380679,2.120525977034049e-14,,
1,<aggregated>,base_ets,0.008483471920340158,-8839.717499412785,17699.43499882557,17699.609740684187,17750.9027206201,876.6209055255356,951.2631514583215,0.07112945384364651,78.4743815478311,9.914291609902648e-14,,
1,CIP,mint_arima,28.52771087650831,-3926.789336570481,7859.578673140962,7859.597645472977,7875.016626544105,NA,NA,NA,18.40107057695481,0.018412599687072095,13.785731360603+0i,1.06120543054285+0i
